Price,Adj Close,Close,High,Low,Open,Volume
Ticker,REGN,REGN,REGN,REGN,REGN,REGN
Date,,,,,,
2024-06-18,1033.378662109375,1039.1099853515625,1052.3399658203125,1036.0,1046.5,379300
2024-06-20,1038.6295166015625,1044.3900146484375,1046.2900390625,1028.0,1038.43994140625,590500
2024-06-21,1047.33154296875,1053.1400146484375,1059.800048828125,1041.25,1047.7099609375,1269900
2024-06-24,1058.0220947265625,1063.8900146484375,1068.0,1052.260009765625,1060.0,518400
2024-06-25,1065.28173828125,1071.18994140625,1081.1700439453125,1066.0400390625,1068.1199951171875,518600
2024-06-26,1063.2630615234375,1069.1600341796875,1075.300048828125,1049.5899658203125,1067.0,533700
2024-06-27,1045.0638427734375,1050.8599853515625,1073.050048828125,1047.010009765625,1071.219970703125,507700
2024-06-28,1045.2330322265625,1051.030029296875,1057.219970703125,1041.780029296875,1054.81005859375,750600
2024-07-01,1051.1900634765625,1057.02001953125,1069.68994140625,1045.0,1047.1099853515625,383200
2024-07-02,1038.898193359375,1044.6600341796875,1058.1700439453125,1030.22998046875,1054.0,364300
2024-07-03,1018.4415283203125,1024.0899658203125,1047.239990234375,1011.6699829101562,1042.280029296875,378300
2024-07-05,1028.5257568359375,1034.22998046875,1040.050048828125,1025.800048828125,1027.469970703125,418300
2024-07-08,1046.4462890625,1052.25,1054.5999755859375,1037.3199462890625,1039.510009765625,366200
2024-07-09,1048.2164306640625,1054.030029296875,1059.010009765625,1040.010009765625,1055.8299560546875,268400
2024-07-10,1065.212158203125,1071.1199951171875,1072.3299560546875,1053.280029296875,1057.1700439453125,263900
2024-07-11,1074.311767578125,1080.27001953125,1091.4000244140625,1065.9300537109375,1065.9300537109375,444400
2024-07-12,1093.9825439453125,1100.050048828125,1106.1600341796875,1084.93994140625,1092.0799560546875,471500
2024-07-15,1076.1414794921875,1082.1099853515625,1100.030029296875,1079.280029296875,1097.2900390625,434600
2024-07-16,1088.950439453125,1094.989990234375,1100.0799560546875,1079.0899658203125,1087.8900146484375,282400
2024-07-17,1079.6322021484375,1085.6199951171875,1100.0,1076.77001953125,1093.010009765625,464500
2024-07-18,1061.37353515625,1067.260009765625,1098.969970703125,1065.4300537109375,1091.4000244140625,396100
2024-07-19,1057.733642578125,1063.5999755859375,1076.72998046875,1060.739990234375,1072.18994140625,452200
2024-07-22,1063.83984375,1069.739990234375,1078.7099609375,1064.949951171875,1075.3499755859375,299500
2024-07-23,1049.7479248046875,1055.5699462890625,1077.800048828125,1055.3399658203125,1077.800048828125,312000
2024-07-24,1055.0087890625,1060.8599853515625,1066.4300537109375,1052.81005859375,1056.0,452500
2024-07-25,1058.3203125,1064.18994140625,1102.949951171875,1061.719970703125,1070.75,528300
2024-07-26,1072.6807861328125,1078.6300048828125,1091.31005859375,1067.5400390625,1067.5400390625,380900
2024-07-29,1071.248779296875,1077.18994140625,1085.0,1073.4100341796875,1073.6199951171875,301100
2024-07-30,1071.8553466796875,1077.800048828125,1092.4599609375,1066.9200439453125,1082.6400146484375,358000
2024-07-31,1073.2376708984375,1079.18994140625,1090.8399658203125,1073.22998046875,1082.199951171875,522700
2024-08-01,1087.11083984375,1093.1400146484375,1101.199951171875,1041.8499755859375,1060.8599853515625,897700
2024-08-02,1076.2210693359375,1082.18994140625,1115.0,1071.97998046875,1099.77001953125,646200
2024-08-05,1065.371337890625,1071.280029296875,1090.4200439453125,1050.010009765625,1082.0,619500
2024-08-06,1060.309326171875,1066.18994140625,1090.780029296875,1064.22998046875,1064.22998046875,445400
2024-08-07,1061.9105224609375,1067.800048828125,1077.0899658203125,1061.4599609375,1074.3800048828125,502500
2024-08-08,1107.209228515625,1113.3499755859375,1114.9000244140625,1069.030029296875,1074.6199951171875,631100
2024-08-09,1125.00048828125,1131.239990234375,1133.0,1111.1099853515625,1113.0,416600
2024-08-12,1114.9066162109375,1121.0899658203125,1129.989990234375,1109.989990234375,1124.6099853515625,501100
2024-08-13,1151.941162109375,1158.3299560546875,1160.4599609375,1122.510009765625,1125.56005859375,572300
2024-08-14,1150.4793701171875,1156.8599853515625,1161.2099609375,1138.6700439453125,1152.27001953125,443100
2024-08-15,1168.8472900390625,1175.3299560546875,1177.949951171875,1155.31005859375,1167.31005859375,569800
2024-08-16,1172.8055419921875,1179.31005859375,1185.0899658203125,1166.719970703125,1175.0,564400
2024-08-19,1190.278564453125,1196.8800048828125,1197.68994140625,1178.1800537109375,1180.02001953125,445900
2024-08-20,1185.6541748046875,1192.22998046875,1201.5899658203125,1185.8699951171875,1196.8800048828125,372200
2024-08-21,1178.8021240234375,1185.3399658203125,1203.489990234375,1184.030029296875,1194.7099609375,342400
2024-08-22,1181.109375,1187.6600341796875,1191.8399658203125,1180.0,1189.699951171875,310200
2024-08-23,1192.506103515625,1199.1199951171875,1202.239990234375,1190.0,1195.719970703125,352400
2024-08-26,1192.7548828125,1199.3699951171875,1206.81005859375,1195.6700439453125,1199.1199951171875,239700
2024-08-27,1195.1317138671875,1201.760009765625,1211.199951171875,1197.1300048828125,1199.3399658203125,295500
2024-08-28,1192.6751708984375,1199.2900390625,1206.6600341796875,1190.1700439453125,1196.06005859375,308300
2024-08-29,1172.427734375,1178.9300537109375,1210.969970703125,1175.4599609375,1204.719970703125,538600
2024-08-30,1178.1556396484375,1184.68994140625,1191.3299560546875,1170.8399658203125,1179.199951171875,405400
2024-09-03,1162.363525390625,1168.81005859375,1192.5400390625,1162.8699951171875,1178.72998046875,579100
2024-09-04,1172.8651123046875,1179.3699951171875,1182.31005859375,1163.3499755859375,1168.81005859375,333000
2024-09-05,1144.214111328125,1150.56005859375,1175.1600341796875,1143.239990234375,1175.1600341796875,534200
2024-09-06,1125.2591552734375,1131.5,1152.8699951171875,1128.969970703125,1150.0,616600
2024-09-09,1138.4559326171875,1144.77001953125,1151.1300048828125,1132.510009765625,1137.1800537109375,513300
2024-09-10,1130.0823974609375,1136.3499755859375,1144.219970703125,1122.530029296875,1144.219970703125,356500
2024-09-11,1135.1541748046875,1141.449951171875,1143.18994140625,1113.239990234375,1137.030029296875,481900
2024-09-12,1158.037353515625,1164.4599609375,1167.6300048828125,1127.199951171875,1138.0999755859375,568900
2024-09-13,1146.9886474609375,1153.3499755859375,1170.5799560546875,1150.02001953125,1160.739990234375,353600
2024-09-16,1146.719970703125,1153.0799560546875,1162.050048828125,1152.010009765625,1162.050048828125,346900
2024-09-17,1140.425048828125,1146.75,1151.0999755859375,1134.5999755859375,1151.0999755859375,348700
2024-09-18,1132.5289306640625,1138.81005859375,1156.4000244140625,1137.6400146484375,1151.3199462890625,328100
2024-09-19,1143.8460693359375,1150.18994140625,1165.8499755859375,1148.1300048828125,1149.6600341796875,596700
2024-09-20,1138.714599609375,1145.030029296875,1149.4200439453125,1136.219970703125,1145.989990234375,913900
2024-09-23,1085.9571533203125,1091.97998046875,1154.56005859375,1081.22998046875,1148.1800537109375,1168300
2024-09-24,1040.2109375,1045.97998046875,1080.0,1022.219970703125,1076.3299560546875,1695200
2024-09-25,1025.4627685546875,1031.1500244140625,1048.52001953125,1008.4099731445312,1048.52001953125,1003100
2024-09-26,1034.2239990234375,1039.9599609375,1063.4000244140625,1030.27001953125,1062.1600341796875,691600
